serial_number,serial_prefix,model_name,client_name
NS45DMX72JQ,NS45,N910std,BankOne
NS45J8WZQL9,NS45,N910std,BankOne
NS45JQMZXY8,NS45,N910std,BankOne
NS45JQXZMWL,NS45,N910std,Heritage Bank
NS45JXQ98YL,NS45,N910std,Heritage Bank
NS45JXW9QLY,NS45,N910std,Heritage Bank
NS45JXWLQYZ,NS45,N910std,Heritage Bank
NS45JXWLQZY,NS45,N910std,Heritage Bank
NS45JZWLXYQ,NS45,N910std,Heritage Bank
NS45KD72MLX,NS45,N910std,BankOne
NS45LQWZ8Y9,NS45,N910std,BankOne
NS45LXJQWMZ,NS45,N910std,Heritage Bank
NS45LXJQWZM,NS45,N910std,Heritage Bank
NS45LXQ9JYQ,NS45,N910std,Heritage Bank
NS45LXQYJWM,NS45,N910std,Heritage Bank
NS45MZ7LD29,NS45,N910std,BankOne
NS45MZJQXLW,NS45,N910std,Heritage Bank
NS45MZQL78Y,NS45,N910std,BankOne
NS45MZXLQJY,NS45,N910std,Heritage Bank
NS45MZXLQWY,NS45,N910std,Heritage Bank
NS45PQLXYJW,NS45,N910std,Heritage Bank
NS45PXJQLYQ,NS45,N910std,Heritage Bank
NS45PXJQWZY,NS45,N910std,Heritage Bank
NS45PXYJQZ7,NS45,N910std,Heritage Bank
NS45PXYQJZL,NS45,N910std,Heritage Bank
NS45PXZQLYW,NS45,N910std,Heritage Bank
NS45PYZ738Q,NS45,N910std,BankOne
NS45PZQJX78,NS45,N910std,Heritage Bank
NS45PZXYQJL,NS45,N910std,Heritage Bank
NS45Q9LZYM8,NS45,N910std,BankOne
NS45QJXMZ78,NS45,N910std,Heritage Bank
NS45QJXZMY7,NS45,N910std,Heritage Bank
NS45QX9YJ2W,NS45,N910std,BankOne
NS45QZJXWL8,NS45,N910std,Heritage Bank
NS45WJQLXZY,NS45,N910std,Heritage Bank
NS45WJXQLYZ,NS45,N910std,Heritage Bank
NS45WJXQLZY,NS45,N910std,Heritage Bank
NS45WL9QJXY,NS45,N910std,Heritage Bank
NS45WLX98YJ,NS45,N910std,BankOne
NS45WLXYJQ7,NS45,N910std,BankOne
NS45WMZQXJY,NS45,N910std,Heritage Bank
NS45WQ81X5T,NS45,N910std,BankOne
NS45WQJX98L,NS45,N910std,BankOne
NS45WQLXJYZ,NS45,N910std,Heritage Bank
NS45X8M3D72,NS45,N910std,BankOne
NS45X9J7LQW,NS45,N910std,BankOne
NS45XJ9WQ84,NS45,N910std,BankOne
NS45XLW9JYQ,NS45,N910std,Heritage Bank
NS45XMDZ2J4,NS45,N910std,BankOne
NS45XW9JQL8,NS45,N910std,Heritage Bank
NS45YPX7Z3L,NS45,N910std,BankOne
NS45YPZ38QT,NS45,N910std,BankOne
NS45Z8YLQJX,NS45,N910std,BankOne
NS45ZL7YJ9Q,NS45,N910std,BankOne
NS45ZXJQLWY,NS45,N910std,Heritage Bank
NS45ZXYQWLJ,NS45,N910std,Heritage Bank
NS45ZXYWLQJ,NS45,N910std,Heritage Bank
NP47DMX72JQ,NP47,N910Pro,BankOne
NP47J8WZQL9,NP47,N910Pro,BankOne
NP47JQMZXY8,NP47,N910Pro,BankOne
NP47JQXZMWL,NP47,N910Pro,BankOne
NP47JXQ98YL,NP47,N910Pro,BankOne
NP47JXW9QLY,NP47,N910Pro,BankOne
NP47JXWLQYZ,NP47,N910Pro,BankOne
NP47JXWLQZY,NP47,N910Pro,BankOne
NP47JZWLXYQ,NP47,N910Pro,BankOne
NP47LQWZ8Y9,NP47,N910Pro,BankOne
NP47LXJQWMZ,NP47,N910Pro,BankOne
NP47LXJQWZM,NP47,N910Pro,BankOne
NP47LXQ9JYQ,NP47,N910Pro,BankOne
NP47LXQYJWM,NP47,N910Pro,BankOne
NP47MZJQXLW,NP47,N910Pro,BankOne
NP47MZQL78Y,NP47,N910Pro,BankOne
NP47MZXLQJY,NP47,N910Pro,BankOne
NP47MZXLQWY,NP47,N910Pro,BankOne
NP47PQLXYJW,NP47,N910Pro,BankOne
NP47PXJQLYQ,NP47,N910Pro,BankOne
NP47PXJQWZY,NP47,N910Pro,BankOne
NP47PXYJQZ7,NP47,N910Pro,BankOne
NP47PXYQJZL,NP47,N910Pro,BankOne
NP47PXZQLYW,NP47,N910Pro,BankOne
NP47PYZ738Q,NP47,N910Pro,BankOne
NP47PZQJX78,NP47,N910Pro,BankOne
NP47PZXYQJL,NP47,N910Pro,BankOne
NP47Q9LZYM8,NP47,N910Pro,BankOne
NP47QJXMZ78,NP47,N910Pro,BankOne
NP47QJXZMY7,NP47,N910Pro,BankOne
NP47QZJXWL8,NP47,N910Pro,BankOne
NP47WJQLXZY,NP47,N910Pro,BankOne
NP47WJXQLYZ,NP47,N910Pro,BankOne
NP47WJXQLZY,NP47,N910Pro,BankOne
NP47WL9QJXY,NP47,N910Pro,BankOne
NP47WLX98YJ,NP47,N910Pro,BankOne
NP47WLXYJQ7,NP47,N910Pro,BankOne
NP47WMZQXJY,NP47,N910Pro,BankOne
NP47WQ81X5T,NP47,N910Pro,BankOne
NP47WQJX98L,NP47,N910Pro,BankOne
NP47WQLXJYZ,NP47,N910Pro,BankOne
NP47X8M3D72,NP47,N910Pro,BankOne
NP47X9J7LQW,NP47,N910Pro,BankOne
NP47XLW9JYQ,NP47,N910Pro,BankOne
NP47XMDZ2J4,NP47,N910Pro,BankOne
NP47XW9JQL8,NP47,N910Pro,BankOne
NP47YPX7Z3L,NP47,N910Pro,BankOne
NP47Z8YLQJX,NP47,N910Pro,BankOne
NP47ZL7YJ9Q,NP47,N910Pro,BankOne
NP47ZXJQLWY,NP47,N910Pro,BankOne
NP47ZXYQWLJ,NP47,N910Pro,BankOne
NP47ZXYWLQJ,NP47,N910Pro,BankOne
IWL250132569,IWL,IWL250,Unity Bank
IWL250142376,IWL,IWL250,Evergreen Bank
IWL250157839,IWL,IWL250,Evergreen Bank
IWL250164958,IWL,IWL250,Unity Bank
IWL250165438,IWL,IWL250,Unity Bank
IWL250182574,IWL,IWL250,Evergreen Bank
IWL250183576,IWL,IWL250,BankOne
IWL250248610,IWL,IWL250,Unity Bank
IWL250250798,IWL,IWL250,Evergreen Bank
IWL250253968,IWL,IWL250,Evergreen Bank
IWL250284956,IWL,IWL250,BankOne
IWL250285193,IWL,IWL250,Unity Bank
IWL250285640,IWL,IWL250,Evergreen Bank
IWL250285740,IWL,IWL250,Unity Bank
IWL250290657,IWL,IWL250,Unity Bank
IWL250294607,IWL,IWL250,BankOne
IWL250307568,IWL,IWL250,Unity Bank
IWL250316897,IWL,IWL250,BankOne
IWL250325791,IWL,IWL250,BankOne
IWL250328569,IWL,IWL250,Unity Bank
IWL250342685,IWL,IWL250,Unity Bank
IWL250346920,IWL,IWL250,Unity Bank
IWL250357189,IWL,IWL250,Unity Bank
IWL250362748,IWL,IWL250,BankOne
IWL250372940,IWL,IWL250,Evergreen Bank
IWL250374562,IWL,IWL250,Evergreen Bank
IWL250379416,IWL,IWL250,Evergreen Bank
IWL250397842,IWL,IWL250,Evergreen Bank
IWL250430982,IWL,IWL250,Unity Bank
IWL250437206,IWL,IWL250,Unity Bank
IWL250437829,IWL,IWL250,BankOne
IWL250451207,IWL,IWL250,Evergreen Bank
IWL250452607,IWL,IWL250,BankOne
IWL250458127,IWL,IWL250,Evergreen Bank
IWL250471365,IWL,IWL250,Evergreen Bank
IWL250481725,IWL,IWL250,Unity Bank
IWL250487350,IWL,IWL250,Unity Bank
IWL250492860,IWL,IWL250,Unity Bank
IWL250503761,IWL,IWL250,BankOne
IWL250510948,IWL,IWL250,BankOne
IWL250512408,IWL,IWL250,Unity Bank
IWL250519768,IWL,IWL250,Evergreen Bank
IWL250519863,IWL,IWL250,BankOne
IWL250521843,IWL,IWL250,Unity Bank
IWL250537482,IWL,IWL250,Evergreen Bank
IWL250538260,IWL,IWL250,BankOne
IWL250540982,IWL,IWL250,Evergreen Bank
IWL250572390,IWL,IWL250,Unity Bank
IWL250572834,IWL,IWL250,BankOne
IWL250603729,IWL,IWL250,Unity Bank
IWL250605849,IWL,IWL250,Evergreen Bank
IWL250608394,IWL,IWL250,Evergreen Bank
IWL250613874,IWL,IWL250,Unity Bank
IWL250618753,IWL,IWL250,Unity Bank
IWL250629571,IWL,IWL250,BankOne
IWL250641825,IWL,IWL250,BankOne
IWL250659743,IWL,IWL250,Evergreen Bank
IWL250674291,IWL,IWL250,Unity Bank
IWL250682905,IWL,IWL250,BankOne
IWL250684203,IWL,IWL250,Evergreen Bank
IWL250692485,IWL,IWL250,Unity Bank
IWL250693241,IWL,IWL250,Evergreen Bank
IWL250694275,IWL,IWL250,Evergreen Bank
IWL250694821,IWL,IWL250,Unity Bank
IWL250698432,IWL,IWL250,BankOne
IWL250698740,IWL,IWL250,Unity Bank
IWL250703592,IWL,IWL250,BankOne
IWL250712839,IWL,IWL250,Evergreen Bank
IWL250731468,IWL,IWL250,Unity Bank
IWL250735489,IWL,IWL250,BankOne
IWL250736921,IWL,IWL250,Unity Bank
IWL250745921,IWL,IWL250,Evergreen Bank
IWL250756301,IWL,IWL250,Unity Bank
IWL250759024,IWL,IWL250,Unity Bank
IWL250759438,IWL,IWL250,BankOne
IWL250769431,IWL,IWL250,Evergreen Bank
IWL250781326,IWL,IWL250,Evergreen Bank
IWL250785163,IWL,IWL250,Unity Bank
IWL250798240,IWL,IWL250,BankOne
IWL250802134,IWL,IWL250,Evergreen Bank
IWL250804392,IWL,IWL250,BankOne
IWL250813762,IWL,IWL250,Evergreen Bank
IWL250813957,IWL,IWL250,Unity Bank
IWL250823710,IWL,IWL250,Evergreen Bank
IWL250824907,IWL,IWL250,Unity Bank
IWL250846932,IWL,IWL250,Evergreen Bank
IWL250851749,IWL,IWL250,Unity Bank
IWL250859270,IWL,IWL250,Unity Bank
IWL250870415,IWL,IWL250,Unity Bank
IWL250870436,IWL,IWL250,Unity Bank
IWL250874506,IWL,IWL250,BankOne
IWL250893741,IWL,IWL250,BankOne
IWL250907315,IWL,IWL250,Unity Bank
IWL250915732,IWL,IWL250,Unity Bank
IWL250918203,IWL,IWL250,Evergreen Bank
IWL250936572,IWL,IWL250,Evergreen Bank
IWL250937510,IWL,IWL250,Unity Bank
IWL250938210,IWL,IWL250,Evergreen Bank
IWL250943826,IWL,IWL250,Unity Bank
IWL250947203,IWL,IWL250,BankOne
IWL250962137,IWL,IWL250,BankOne
IWL250964015,IWL,IWL250,Evergreen Bank
IWL250974528,IWL,IWL250,Unity Bank
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,Evergreen Bank
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,Unity Bank
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,Evergreen Bank
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,Evergreen Bank
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,Unity Bank
3.00E+14,3000,Move,BankOne
3.00E+14,3000,Move,Unity Bank
2.50E+14,2500,Move,Unity Bank
2.50E+14,2500,Move,Evergreen Bank
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,Evergreen Bank
2.50E+14,2500,Move,Evergreen Bank
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,Unity Bank
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,Unity Bank
Link2000127843,2000,Link,BankOne
Link2000128937,2000,Link,BankOne
Link2000136928,2000,Link,Evergreen Bank
Link2000149378,2000,Link,Evergreen Bank
Link2000204938,2000,Link,Evergreen Bank
Link2000275493,2000,Link,Evergreen Bank
Link2000298475,2000,Link,Evergreen Bank
Link2000349752,2000,Link,BankOne
Link2000358976,2000,Link,Evergreen Bank
Link2000375281,2000,Link,BankOne
Link2000385764,2000,Link,Evergreen Bank
Link2000395827,2000,Link,Evergreen Bank
Link2000397685,2000,Link,BankOne
Link2000419285,2000,Link,Evergreen Bank
Link2000425769,2000,Link,BankOne
Link2000427893,2000,Link,Evergreen Bank
Link2000452879,2000,Link,BankOne
Link2000462819,2000,Link,BankOne
Link2000487312,2000,Link,Evergreen Bank
Link2000517382,2000,Link,Evergreen Bank
Link2000517648,2000,Link,Evergreen Bank
Link2000561938,2000,Link,BankOne
Link2000578492,2000,Link,Evergreen Bank
Link2000581627,2000,Link,BankOne
Link2000593812,2000,Link,Evergreen Bank
Link2000601287,2000,Link,Evergreen Bank
Link2000629543,2000,Link,BankOne
Link2000637589,2000,Link,Evergreen Bank
Link2000672514,2000,Link,Evergreen Bank
Link2000695283,2000,Link,BankOne
Link2000713625,2000,Link,Evergreen Bank
Link2000714392,2000,Link,BankOne
Link2000726359,2000,Link,Evergreen Bank
Link2000739582,2000,Link,BankOne
Link2000758642,2000,Link,BankOne
Link2000764823,2000,Link,Evergreen Bank
Link2000813956,2000,Link,BankOne
Link2000832741,2000,Link,Evergreen Bank
Link2000837564,2000,Link,Evergreen Bank
Link2000842639,2000,Link,Evergreen Bank
Link2000842951,2000,Link,BankOne
Link2000864327,2000,Link,Evergreen Bank
Link2000874136,2000,Link,BankOne
Link2000918325,2000,Link,BankOne
Link2000926581,2000,Link,Evergreen Bank
Link2000935741,2000,Link,Evergreen Bank
Link2000938175,2000,Link,BankOne
Link2000958271,2000,Link,Evergreen Bank
Link2000981274,2000,Link,BankOne
Link2000987432,2000,Link,Evergreen Bank
